City,State,2010 Actual,2020 Estimate,2016 Land Area (sq mi),Population Change,Population Density 2010,Population Density 2020
Greensboro,North Carolina,269666,297878,128.3,10.461830560767764,2101.8394388152765,2321.7303195635227
Buffalo,New York,261310,254479,40.4,-2.6141364662661206,6468.0693069306935,6298.985148514852
Plano,Texas,259841,291296,71.7,12.10547988962481,3624.0027894002787,4062.7057182705717
Lincoln,Nebraska,258379,290505,92.1,12.433673015221826,2805.4180238870795,3154.2345276872966
Henderson,Nevada,257729,329172,104.7,27.720202227921575,2461.595033428844,3143.9541547277936
Fort Wayne,Indiana,253691,272398,110.6,7.37393127860271,2293.77034358047,2462.9113924050635
Jersey City,New Jersey,247597,262664,14.8,6.085291825022113,16729.527027027027,17747.567567567567
St. Petersburg,Florida,244769,267802,61.8,9.410096866841798,3960.6634304207123,4333.365695792881
Chula Vista,California,243916,272979,49.6,11.915167516686072,4917.6612903225805,5503.6088709677415
Norfolk,Virginia,242803,242803,53.3,0.0,4555.403377110694,4555.403377110694
Orlando,Florida,238300,289457,105.2,21.467477968946707,2265.209125475285,2751.492395437262
Chandler,Arizona,236123,265398,64.9,12.398199243614556,3638.2588597842832,4089.3374422187976
Laredo,Texas,236091,263640,101.1,11.668805672389036,2335.2225519287836,2607.7151335311573
Madison,Wisconsin,233209,263094,77.0,12.814685539580376,3028.688311688312,3416.805194805195
Winston–Salem,North Carolina,229617,248112,132.5,8.054717202994551,1732.9584905660377,1872.543396226415
Lubbock,Texas,229573,262611,124.6,14.391065151389753,1842.4799357945426,2107.6324237560193
Baton Rouge,Louisiana,229493,219052,85.9,-4.549594105266827,2671.6298020954596,2550.081490104773
Durham,North Carolina,228330,285897,109.8,25.212192878728157,2079.5081967213114,2603.7978142076504
Garland,Texas,226876,238139,57.0,4.964385831908179,3980.280701754386,4177.877192982456
Glendale,Arizona,226721,255307,59.1,12.608448269017869,3836.226734348562,4319.915397631134
Reno,Nevada,225221,259290,107.3,15.126919781015092,2098.9841565703637,2416.4958061509788
Hialeah,Florida,224669,232037,21.5,3.2794911625546916,10449.720930232557,10792.418604651162
Chesapeake,Virginia,222209,247011,338.5,11.161564113064728,656.4519940915804,729.7223042836041
Scottsdale,Arizona,217385,262647,183.9,20.821123812590564,1182.0826536160957,1428.205546492659
North Las Vegas,Nevada,216961,260098,98.0,19.882375173418264,2213.887755102041,2654.061224489796
Irving,Texas,216290,240916,67.0,11.385639650469278,3228.208955223881,3595.7611940298507
Fremont,California,214089,234569,77.5,9.566115026928053,2762.4387096774194,3026.696774193548
Irvine,California,212375,283700,65.6,33.584461447910535,3237.4237804878053,4324.69512195122
Birmingham,Alabama,212237,206950,146.1,-2.4910830816492884,1452.6830937713896,1416.495550992471
Rochester,New York,210565,205225,35.8,-2.5360340037518103,5881.703910614526,5732.541899441341
San Bernardino,California,209924,217491,61.5,3.6046378689430463,3413.39837398374,3536.439024390244
Spokane,Washington,208916,222050,68.7,6.28673725325011,3040.98981077147,3232.16885007278
Gilbert,Arizona,208453,257658,68.0,23.60484137911184,3065.485294117647,3789.0882352941176
Montgomery,Alabama,205764,196268,159.8,-4.614995820454501,1287.6345431789737,1228.2102628285356
Boise,Idaho,205671,229776,82.1,11.720174453374565,2505.127892813642,2798.733252131547
Richmond,Virginia,204214,232226,59.8,13.716983164719363,3414.9498327759197,3883.377926421405
Des Moines,Iowa,203433,212312,88.9,4.364581950814273,2288.3352080989876,2388.211473565804
Modesto,California,201165,215666,43.0,7.208510426764099,4678.2558139534885,5015.488372093023
Fayetteville,North Carolina,200564,211705,147.7,5.554835364272751,1357.914691943128,1433.3446174678404
Shreveport,Louisiana,199311,184786,107.1,-7.287605801987848,1860.9803921568628,1725.359477124183
Akron,Ohio,199110,195994,62.0,-1.5649640902013964,3211.451612903226,3161.1935483870966
Tacoma,Washington,198397,219945,49.7,10.861051326380943,3991.891348088531,4425.4527162977865
Aurora,Illinois,197899,196383,44.9,-0.7660473271719412,4407.550111358575,4373.786191536748
Oxnard,California,197899,207945,26.9,5.0763268131723756,7356.840148698885,7730.297397769517
Fontana,California,196069,216173,43.0,10.253533194946677,4559.7441860465115,5027.279069767442
Yonkers,New York,195976,200040,18.0,2.073723313058742,10887.555555555555,11113.333333333334
Augusta,Georgia,195844,197468,302.5,0.829231429096628,647.4181818181818,652.7867768595041
Mobile,Alabama,195111,187746,139.4,-3.7747743592109106,1399.6484935437588,1346.8149210903873
Little Rock,Arkansas,193524,197866,118.7,2.243649366486844,1630.362257792755,1666.9418702611626
Moreno Valley,California,193365,212349,51.3,9.817702272903576,3769.2982456140353,4139.356725146199
Glendale,California,191719,197747,30.4,3.144184979057892,6306.546052631579,6504.83552631579
Amarillo,Texas,190695,199654,101.4,4.698078082802381,1880.621301775148,1968.974358974359
Huntington Beach,California,189992,198246,26.9,4.344393448145185,7062.899628252789,7369.739776951673
Columbus,Georgia,189885,196442,216.4,3.4531426916291443,877.4722735674676,907.7726432532347
Grand Rapids,Michigan,188040,200031,44.4,6.376834716017868,4235.135135135135,4505.2027027027025
Salt Lake City,Utah,186440,204087,111.2,9.4652435099764,1676.6187050359713,1835.3147482014388
Tallahassee,Florida,181376,196326,100.4,8.242545871559633,1806.5338645418326,1955.4382470119522
Worcester,Massachusetts,181045,184570,37.4,1.9470297439863018,4840.775401069519,4935.026737967914
Newport News,Virginia,180719,179062,69.1,-0.9168930770975935,2615.3256150506513,2591.345875542692
Huntsville,Alabama,180105,202964,213.4,12.692040754004609,843.9784442361762,951.0965323336457
Knoxville,Tennessee,178874,190223,98.5,6.344689558012903,1815.979695431472,1931.197969543147
Providence,Rhode Island,178042,179270,18.4,0.689724896372766,9676.195652173914,9742.934782608696
Santa Clarita,California,176320,209990,52.8,19.095961887477316,3339.3939393939395,3977.0833333333335
Grand Prairie,Texas,175396,195272,72.3,11.332071426942461,2425.9474412171508,2700.857538035961
Brownsville,Texas,175023,183428,132.5,4.802225993155186,1320.9283018867925,1384.3622641509435
Jackson,Mississippi,173514,157821,111.0,-9.044226978802863,1563.1891891891892,1421.8108108108108
Overland Park,Kansas,173372,197381,75.1,13.848256927300834,2308.5486018641814,2628.242343541944
Garden Grove,California,170883,171366,18.0,0.2826495321360229,9493.5,9520.333333333334
Santa Rosa,California,167815,174613,41.3,4.050889372225367,4063.317191283293,4227.917675544794
Chattanooga,Tennessee,167674,184742,143.1,10.179276453117359,1171.72606568833,1290.9993011879806
Oceanside,California,167086,174648,41.3,4.5258130543552415,4045.6658595641647,4228.7651331719135
Fort Lauderdale,Florida,165521,182245,34.6,10.10385389165121,4783.843930635838,5267.196531791908
Rancho Cucamonga,California,165269,178849,40.0,8.216906981950638,4131.725,4471.225
Port St. Lucie,Florida,164603,209715,118.9,27.406547875798132,1384.3818334735072,1763.7931034482758
Ontario,California,163924,183393,49.9,11.876845367365364,3285.0501002004007,3675.2104208416836
Vancouver,Washington,161791,186192,46.9,15.081803066919669,3449.7014925373137,3969.9786780383797
Tempe,Arizona,161719,200402,40.0,23.919885727712884,4042.975,5010.05
Springfield,Missouri,159498,168090,82.3,5.3869014031523905,1938.0072904009721,2042.4058323207778
Lancaster,California,156633,155822,94.3,-0.5177708401167059,1661.0074231177095,1652.407211028632
Eugene,Oregon,156185,173236,44.1,10.91718154752377,3541.609977324263,3928.253968253968
Salem,Oregon,154637,175891,48.6,13.744446671883184,3181.8312757201647,3619.156378600823
Cape Coral,Florida,154305,200972,105.6,30.24334921097826,1461.221590909091,1903.1439393939395
Peoria,Arizona,154065,179872,175.7,16.750722097815856,876.8639726807058,1023.7450199203188
Pembroke Pines,Florida,154019,174414,33.0,13.241872755958681,4667.242424242424,5285.272727272727
Sioux Falls,South Dakota,153888,187809,75.4,22.042654398003744,2040.9549071618035,2490.835543766578
Springfield,Massachusetts,153060,152646,31.9,-0.27048216385731083,4798.119122257053,4785.141065830721
Elk Grove,California,153015,177302,42.2,15.87230010129726,3625.947867298578,4201.4691943127955
Rockford,Illinois,152871,144835,63.5,-5.256719717932113,2407.417322834646,2280.8661417322833
Palmdale,California,152750,150498,106.0,-1.47430441898527,1441.0377358490566,1419.7924528301887
Corona,California,152374,170996,39.5,12.221245094307427,3857.5696202531644,4329.012658227848
Salinas,California,150441,154868,23.6,2.942681848698161,6374.618644067797,6562.203389830508
Pomona,California,149058,149212,23.0,0.10331548793087256,6480.782608695652,6487.478260869565
Pasadena,Texas,149043,149440,43.5,0.2663660822715592,3426.2758620689656,3435.402298850575
Joliet,Illinois,147433,146673,64.4,-0.5154883913370819,2289.332298136646,2277.531055900621
Paterson,New Jersey,146199,144801,8.4,-0.9562308907721667,17404.642857142855,17238.214285714286
Kansas City,Kansas,145786,152727,124.8,4.761088170331856,1168.1570512820513,1223.7740384615386
Torrance,California,145438,141553,20.5,-2.6712413537039836,7094.536585365854,6905.024390243902
Syracuse,New York,145170,141229,25.0,-2.7147482262175378,5806.8,5649.16
Bridgeport,Connecticut,144229,143525,16.1,-0.4881126541818913,8958.322981366458,8914.596273291925
Hayward,California,144186,157966,45.5,9.557099857128987,3168.923076923077,3471.78021978022
Fort Collins,Colorado,143986,168234,55.8,16.840526162265775,2580.394265232975,3014.94623655914
Escondido,California,143911,149943,37.1,4.191479456052699,3879.0026954177897,4041.590296495957
Lakewood,Colorado,142980,157429,42.9,10.105609176108548,3332.867132867133,3669.6736596736596
Naperville,Illinois,141853,147986,38.7,4.323489809873601,3665.4521963824286,3823.927648578811
Dayton,Ohio,141527,139907,55.7,-1.1446579097981304,2540.879712746858,2511.7953321364453
Hollywood,Florida,140768,154611,27.3,9.833911116162765,5156.336996336996,5663.406593406593
Sunnyvale,California,140081,151746,22.0,8.327324904876464,6367.318181818182,6897.545454545455
Alexandria,Virginia,139966,158726,15.0,13.403255076232801,9331.066666666668,10581.733333333334
Mesquite,Texas,139824,138916,47.2,-0.6493878018079872,2962.372881355932,2943.1355932203387
Hampton,Virginia,137436,135464,51.5,-1.4348496754853168,2668.660194174757,2630.368932038835
Pasadena,California,137122,141045,23.0,2.8609559370487596,5961.826086956522,6132.391304347826
Orange,California,136416,138192,25.4,1.3019000703729768,5370.708661417323,5440.629921259842
Savannah,Georgia,136286,143632,103.6,5.390135450449789,1315.5019305019305,1386.4092664092666
Cary,North Carolina,135234,173587,56.5,28.360471479065914,2393.522123893805,3072.336283185841
Fullerton,California,135161,139921,22.4,3.521725941654767,6033.973214285715,6246.473214285715
Warren,Michigan,134056,132877,34.4,-0.8794832010503073,3896.9767441860467,3862.703488372093
Clarksville,Tennessee,132929,161247,98.3,21.303101655771126,1352.2787385554425,1640.356052899288
McKinney,Texas,131117,208272,63.0,58.84439088752793,2081.222222222222,3305.904761904762
McAllen,Texas,129877,143751,58.4,10.682414900251777,2223.9212328767126,2461.4897260273974
New Haven,Connecticut,129779,130801,18.7,0.7874925835458741,6940.053475935829,6994.705882352941
Sterling Heights,Michigan,129699,131709,36.5,1.5497420951587908,3553.3972602739727,3608.4657534246576
West Valley City,Utah,129480,133894,35.5,3.4090206981773243,3647.323943661972,3771.6619718309857
Columbia,South Carolina,129272,132130,133.5,2.210842255090043,968.3295880149813,989.7378277153558
Killeen,Texas,127921,153991,53.5,20.379765636603842,2391.0467289719627,2878.336448598131
Topeka,Kansas,127473,124558,61.5,-2.286758764601131,2072.731707317073,2025.3333333333333
Thousand Oaks,California,126683,126310,55.2,-0.2944357174995856,2294.981884057971,2288.2246376811595
Cedar Rapids,Iowa,126326,134027,70.8,6.096132229311464,1784.265536723164,1893.0367231638418
Olathe,Kansas,125872,141665,60.9,12.546873013855345,2066.863711001642,2326.190476190476
Elizabeth,New Jersey,124969,128382,12.3,2.731077307172179,10160.081300813008,10437.560975609755
Waco,Texas,124805,141377,89.0,13.278314170105364,1402.3033707865168,1588.5056179775281
Hartford,Connecticut,124775,121535,17.4,-2.5966740132238026,7170.977011494253,6984.770114942529
Visalia,California,124442,135007,37.5,8.489898908728565,3318.4533333333334,3600.1866666666665
Gainesville,Florida,124354,135004,62.3,8.564260096177042,1996.0513643659713,2166.9983948635636
Simi Valley,California,124237,125168,41.5,0.7493741799946876,2993.6626506024095,3016.0963855421687
Stamford,Connecticut,122643,131397,37.6,7.1377901714733,3261.781914893617,3494.601063829787
Bellevue,Washington,122363,148073,33.5,21.011253401763604,3652.626865671642,4420.089552238806
Concord,California,122067,128544,30.5,5.3061023863943575,4002.1967213114754,4214.55737704918
Miramar,Florida,122041,141150,29.4,15.657852688850468,4151.0544217687075,4801.0204081632655
Coral Springs,Florida,121096,133519,23.8,10.258802933210015,5088.0672268907565,5610.042016806722
Lafayette,Louisiana,120623,126535,53.8,4.901221160143588,2242.0631970260224,2351.9516728624535
Charleston,South Carolina,120083,139892,109.0,16.496090204275376,1101.6788990825687,1283.4128440366972
Carrollton,Texas,119097,139892,36.3,17.460557360806735,3280.909090909091,3853.7741046831957
Roseville,California,118788,144725,43.0,21.83469710745193,2762.5116279069766,3365.6976744186045
Thornton,Colorado,118772,148113,35.7,24.70363385309669,3326.9467787114845,4148.823529411764
Beaumont,Texas,118296,115473,82.1,-2.3863866910123757,1440.8769792935445,1406.4920828258223
Allentown,Pennsylvania,118032,121470,17.5,2.9127694184627897,6744.685714285714,6941.142857142857
Surprise,Arizona,117517,147965,107.9,25.909442889113915,1089.1288229842446,1371.316033364226
Evansville,Indiana,117429,118407,47.3,0.8328436757530082,2482.6427061310783,2503.3192389006344
Abilene,Texas,117063,124407,106.7,6.27354501422311,1097.1227741330833,1165.9512652296157
Frisco,Texas,116989,209980,67.7,79.48696031250802,1728.0502215657311,3101.6248153618903
Independence,Missouri,116830,116774,77.8,-0.04793289394847214,1501.6709511568124,1500.9511568123394
Santa Clara,California,116468,131055,18.4,12.524470240752825,6329.782608695653,7122.554347826088
Springfield,Illinois,116250,113671,60.1,-2.218494623655914,1934.2762063227954,1891.3643926788684
Vallejo,California,115942,120747,30.7,4.144313536078384,3776.612377850163,3933.127035830619
Victorville,California,115903,124982,73.3,7.833274375986816,1581.2141882673943,1705.075034106412
Athens,Georgia,115452,126391,116.4,9.474933305616187,991.8556701030927,1085.8333333333333
Peoria,Illinois,115007,109428,48.2,-4.85100906901319,2386.03734439834,2270.290456431535
Lansing,Michigan,114297,117540,39.1,2.8373448121997953,2923.1969309462916,3006.13810741688
Ann Arbor,Michigan,113934,119280,28.1,4.692190215387856,4054.5907473309608,4244.839857651245
El Monte,California,113475,112344,9.6,-0.9966953073364176,11820.3125,11702.5
Denton,Texas,113383,147515,93.4,30.103278269229072,1213.950749464668,1579.3897216274088
Berkeley,California,112580,122726,10.5,9.012257949902292,10721.904761904761,11688.190476190477
Provo,Utah,112488,116295,41.7,3.3843609985065073,2697.553956834532,2788.848920863309
Downey,California,111772,109202,12.4,-2.2993236230898617,9013.870967741936,8806.612903225807
Midland,Texas,111147,147069,74.4,32.3193608464466,1493.9112903225805,1976.7338709677417
Norman,Oklahoma,110925,125762,178.8,13.37570430471039,620.3859060402684,703.3668903803132
Waterbury,Connecticut,110366,106621,28.5,-3.3932551691644166,3872.4912280701756,3741.0877192982457
Costa Mesa,California,109960,112366,15.7,2.188068388504911,7003.821656050955,7157.070063694267
Inglewood,California,109673,107203,9.1,-2.252149571909221,12051.978021978022,11780.549450549452
Manchester,New Hampshire,109565,112546,33.1,2.720759366586045,3310.12084592145,3400.181268882175
Murfreesboro,Tennessee,108755,150757,55.9,38.62075306882442,1945.5277280858677,2696.9051878354203
Columbia,Missouri,108500,124769,65.0,14.99447004608295,1669.2307692307693,1919.5230769230768
Elgin,Illinois,108188,110196,37.4,1.8560283950160832,2892.727272727273,2946.4171122994653
Clearwater,Florida,107685,116552,25.9,8.234201606537587,4157.722007722008,4500.077220077221
Miami Gardens,Florida,107167,109131,18.2,1.8326537086976402,5888.2967032967035,5996.208791208792
Rochester,Minnesota,106769,119862,54.6,12.262922758478584,1955.4761904761904,2195.2747252747254
Pueblo,Colorado,106595,112751,53.6,5.7751301655799985,1988.7126865671642,2103.563432835821
Lowell,Massachusetts,106519,110904,13.6,4.116636468611234,7832.279411764706,8154.705882352941
Wilmington,North Carolina,106476,124794,51.6,17.203876930012395,2063.4883720930234,2418.4883720930234
Arvada,Colorado,106433,121936,38.6,14.565971080397997,2757.3316062176164,3158.963730569948
Ventura,California,106433,107110,21.8,0.6360809147538827,4882.247706422018,4913.302752293578
Westminster,Colorado,106114,115046,31.7,8.417362459241948,3347.4447949526816,3629.211356466877
West Covina,California,106098,103656,16.0,-2.3016456483628343,6631.125,6478.5
Gresham,Oregon,105594,110031,23.3,4.201943292232514,4531.931330472103,4722.360515021459
Fargo,North Dakota,105549,125209,49.3,18.626419956607833,2140.953346855984,2539.73630831643
Norwalk,California,105549,102635,9.7,-2.760803039346654,10881.340206185569,10580.927835051547
Carlsbad,California,105328,115599,37.7,9.751443111043596,2793.846153846154,3066.2864721485407
Fairfield,California,105321,117580,40.9,11.639654010121438,2575.0855745721274,2874.8166259168706
Cambridge,Massachusetts,105162,119192,6.4,13.34132100949012,16431.5625,18623.75
Wichita Falls,Texas,104553,105405,72.2,0.8148977073828584,1448.1024930747922,1459.9030470914126
High Point,North Carolina,104371,113565,55.2,8.808960343390405,1890.7789855072463,2057.336956521739
Billings,Montana,104170,109736,43.7,5.343189017951425,2383.7528604118993,2511.1212814645305
Green Bay,Wisconsin,104057,103836,45.4,-0.21238359745139684,2292.0044052863436,2287.136563876652
West Jordan,Utah,103712,116530,32.3,12.359225547670471,3210.8978328173375,3607.7399380804954
Richmond,California,103701,110038,30.1,6.1108378897021245,3445.2159468438535,3655.7475083056474
Murrieta,California,103466,116522,33.6,12.618638006688187,3079.345238095238,3467.9166666666665
Burbank,California,103340,101866,17.4,-1.42635958970389,5939.080459770115,5854.367816091954
Palm Bay,Florida,103190,116932,65.7,13.317181897470684,1570.6240487062405,1779.786910197869
Everett,Washington,103019,112482,33.3,9.185684194177773,3093.663663663664,3377.837837837838
Antioch,California,102372,111605,29.4,9.019067713827999,3482.0408163265306,3796.08843537415
South Bend,Indiana,101168,101868,41.4,0.6919183931678001,2443.671497584541,2460.5797101449275
Daly City,California,101123,105868,7.6,4.692305410242971,13305.657894736843,13930.0
Centennial,Colorado,100377,110156,29.5,9.742271635932534,3402.6101694915255,3734.101694915254
Temecula,California,100097,113878,37.3,13.767645383977541,2683.565683646113,3053.0294906166223
Odessa,Texas,99940,125413,45.2,25.48829297578547,2211.0619469026547,2774.6238938053098
West Palm Beach,Florida,99919,112782,55.1,12.873427476255767,1813.4119782214157,2046.8602540834845
Round Rock,Texas,99887,137575,35.6,37.73063561824862,2805.814606741573,3864.4662921348313
Pompano Beach,Florida,99845,112360,24.0,12.534428363964146,4160.208333333333,4681.666666666667
Davenport,Iowa,99685,101799,62.9,2.1206801424487134,1584.8171701112879,1618.4260731319555
Santa Maria,California,99553,105851,22.8,6.326278464737375,4366.359649122807,4642.587719298245
El Cajon,California,99478,102401,14.5,2.9383381250125655,6860.551724137931,7062.137931034483
Richardson,Texas,99223,121112,28.6,22.06040938088951,3469.335664335664,4234.685314685315
Rialto,California,99171,104132,22.3,5.002470480281533,4447.130044843049,4669.596412556054
Broken Arrow,Oklahoma,98850,111648,61.7,12.946889226100152,1602.1069692058345,1809.5299837925445
Las Cruces,New Mexico,97618,105096,76.9,7.660472453850724,1269.414824447334,1366.6579973992198
North Charleston,South Carolina,97471,118752,73.7,21.833160632393227,1322.5373134328358,1611.2890094979646
Lakeland,Florida,97422,115283,65.9,18.33364127199195,1478.3308042488618,1749.3626707132016
Boulder,Colorado,97385,107645,24.8,10.535503414283513,3926.814516129032,4340.524193548387
San Mateo,California,97207,102398,12.1,5.340150400691308,8033.636363636364,8462.644628099173
Tyler,Texas,96900,108222,56.6,11.68421052631579,1712.0141342756183,1912.0494699646642
Clovis,California,95631,117662,24.2,23.037508757620436,3951.694214876033,4862.06611570248
Lewisville,Texas,95290,112232,36.7,17.77941022142932,2596.4577656675747,3058.0926430517707
College Station,Texas,93857,119260,51.0,27.065642413458775,1840.3333333333333,2338.4313725490197
Sandy Springs,Georgia,93853,109928,37.7,17.127848870041447,2489.46949602122,2915.862068965517
Vista,California,93834,100636,18.7,7.248971588123708,5017.860962566845,5381.604278074867
San Angelo,Texas,93200,101612,59.9,9.025751072961373,1555.9265442404007,1696.3606010016695
Greeley,Colorado,92889,108958,47.8,17.299141986672264,1943.284518828452,2279.456066945607
Vacaville,California,92428,101332,29.0,9.63344441078461,3187.1724137931033,3494.206896551724
Kent,Washington,92411,130676,33.7,41.407408208979454,2742.166172106825,3877.6261127596435
Davie,Florida,91992,106306,34.9,15.560048699886947,2635.873925501433,3046.0171919770773
Hillsboro,Oregon,91611,110985,25.0,21.148115400988964,3664.44,4439.4
Lee's Summit,Missouri,91364,101467,63.8,11.057965938444026,1432.037617554859,1590.3918495297805
Macon,Georgia,91351,152737,249.3,67.19795076134908,366.4300040112314,612.6634576815082
Pearland,Texas,91252,123562,46.3,35.407443124534254,1970.8855291576674,2668.725701943845
Renton,Washington,90927,101494,23.4,11.621410582115322,3885.769230769231,4337.350427350428
Tuscaloosa,Alabama,90468,102819,71.7,13.652341159304948,1261.7573221757323,1434.0167364016736
Sparks,Nevada,90264,106900,35.9,18.430381990605333,2514.3175487465182,2977.715877437326
Spokane Valley,Washington,89755,102893,37.7,14.637624644866582,2380.7692307692305,2729.257294429708
Chico,California,86187,102867,33.3,19.353266733962197,2588.1981981981985,3089.0990990990995
